catnum	length							
P05198	20.2							
P05198	17.2							
P05198	19.9							
P05198	22.3							
P05198	21.9							
P05198	25.1							
P05198	19.8							
P05198	22.5							
P05198	21.8							
P05198	23.4							
P05198	17.5							
P05198	18.7							
P05198	21.7							
P05198	25.9							
P05198	18.1							
P05198	30.1							
P05198	23							
P05198	21.1							
P05198	21.8							
P05198	19.4							
P05198	18.9							
P05198	19.1							
P05198	21.9							
P05198	22.1							
P05198	20.7							
P05198	20.8							
P05198	18.6							
P05198	18.2							
P05198	20.6							
P05198	22.4							
P05198	24.2							
P05198	20.1							
P05198	18.9							
P05198	19.2							
P05198	19.9							
P05198	24							
P05198	16.4							
P05198	20.1							
P05198	17.9							
P05198	18.8							
P05198	23.8							
P05198	18.4							
P05198	22.6							
P05198	20.2							
P05198	23.8							
P05198	21.3							
P05198	23.3							
P05198	18.9							
P05198	17.7							
P05198	26.7							
P05198	22.4							
P05198	21.5							
P05198	21.7							
P05198	20.1							
P05198	23.3							
P05198	20							
P05198	20							
P05198	28.4							
P05198	22.4							
P05198	19							
P05198	20.3							
P05198	12.8							
P05198	24.5							
P05198	20.5							
P05198	23.2							
P05198	21.6							
P05198	23.3							
P05198	17.7							
P05198	20.2							
P05198	23.1							
P05198	19.6							
P05198	20.8							
P05198	22.7							
P05198	22.7							
P05198	23.9							
P05198	21.2							
P05198	24.2							
P05198	22.1							
P05198	20.2							
P05198	20							
P05198	19.3							
P05198	18.8							
P05198	16.6							
P05198	23.8							
P05198	22.9							
P05198	21.7							
P05198	20.8							
P05198	21.6							
P05198	26.4							
P05198	20.8							
P05198	20.7							
P05198	24.4							
P05198	18.7							
P05198	18.1							
P05198	21.4							
P05198	19							
P05198	21.1							
P05198	14.3							
P05198	25.7							
P05198	22.4							
P05198	21.7							
P05198	18.1							
P05198	23							
P05198	23.4							
P05198	23.6							
P05198	15.2							
P05198	19.1							
P05198	23.1							
P05198	21.3							
P05198	21.1							
P05198	21.3							
P05198	22.3							
P05198	26.4							
P05198	21.8							
P05198	18.6							
P05198	18.1							
P05198	24.8							
P05198	20.8							
P05198	19.7							
P05198	16.5							
P05198	19.4							
P05198	14.9							
P05198	21.2							
P05198	22.2							
P05198	19.6							
P05198	17.9							
P05198	23.8							
P05198	20.9							
P05198	19.7							
P05198	21.6							
P05198	18							
P05198	20.1							
